K1LZ,MULTI-TWO,PH,"37,800,594",K1LZ K1ZM K3JO KC1TQW KE1J ND3T W1ADI
KC1XX,MULTI-MULTI,CW,"22,886,771",AJ1AJ DL1MGB DO2WW K1EP K1GQ K1KI K1ZZ K4ZW KC1XX KM3T NN1C W1VE WA1Z
NE1C,MULTI-MULTI,PH,"15,416,782",K1NZ K1TTT K2IW K2SAV KX1X N1TA NT1K W0EAS W1IM @K1TTT
KQ2M,SO HP ALL,PH,"14,493,700",
K3LR,MULTI-MULTI,PH,"10,949,112",DL1QQ K1DG K2TR K3LA K3LR K3UA K4ZW K5TR K5ZD KE8LQR N2NT N3SD N5TJ N9RV VE3EJ
CK3A,MULTI-TWO,CW,"10,766,943",K1XM KQ1F N2WQ VA3WB VE3RZ W1UE
NQ2F,MULTI-MULTI,PH,"9,128,541",KD2RD KN4BBO NQ2F WB2TQE
WK1O,SO HP ALL,PH,"8,975,070",
NQ2F,MULTI-MULTI,CW,"6,646,356",KD2RD KF2T N2TX NQ2F WJ2O
K1AR,SO HP ALL,CW,"5,028,300",
AE1P,SO HP ALL,PH,"4,683,756",
WT1A,SO HP ALL,PH,"4,077,636",
XM2Z,SO LP ALL,PH,"3,558,160",VA2CZ
WJ1U,SO LP ALL,CW,"2,893,952",
K3LR,MULTI-MULTI,CW,"2,795,948",AD4EB DL1QQ K3LR K3UA K5ZD KD4D N2NC N3GJ N3SD N6TV VE3RA W2RQ
NM2A,SO LP ALL,CW,"2,649,340",
WC1M,SO HP ALL,CW,"2,173,116",
K1DC,SO HP ALL,PH,"2,031,114",
WJ1U,SO LP ALL,PH,"1,768,968",
NB1N,SO HP ALL,CW,"1,735,128",
AK1MD,SO HP ALL,CW,"1,706,834",
KZ1M,SO LP ALL,CW,"1,689,728",W1EQ
W1GD,SO HP ALL,CW,"1,665,840",
VG2Z,SO LP ALL,CW,"1,653,435",VA2CZ
WA1T,SO HP ALL,PH,"1,610,136",
KB1W,SO HP ALL,CW,"1,559,932",
NM1JY,SO HP ALL,PH,"1,503,977",K1RX
KE1IH,SO HP ALL,PH,"1,407,076",
N2ZA,SO HP ALL,CW,"1,406,124",
KC1TNO,SO HP ALL,CW,"1,397,335",YT3WA
KA1IS,SO QRP 40M,CW,"1,352,070",
NN1AA,SO LP 40M,CW,"1,285,450",K1IR
N9NC,SO LP ALL,CW,"1,221,578",
WK1O,SO HP ALL,CW,"1,209,936",
N1DC,SO LP ALL,CW,"1,154,250",
W1FM,MULTI-TWO,CW,"1,148,217",N1SOH W1FM
N1NQD,SO LP ALL,PH,"1,137,240",
W1FM,MULTI-TWO,PH,"1,136,016",N1SOH W1FM
K1TR,SO LP 15M,CW,"1,125,773",
KI1P,SO LP ALL,PH,"1,113,222",
WJ1X,SO HP ALL,CW,"1,101,525",
NG1R,SO LP 20M,CW,"1,029,995",W1QK
W1FJ,SO QRP ALL,CW,"965,568",
WT1M,SO HP ALL,CW,"953,370",
KQ1F,SO LP ALL,PH,"939,320",K1XM
WA1Z,SO HP ALL,PH,"857,152",
K1JB,SO HP 15M,PH,"821,177",
NI1Q,SO LP ALL,PH,"795,846",
W1GD,SO HP ALL,PH,"794,871",
KC1QEM,SO LP ALL,PH,"781,806",
KM1W,SO HP ALL,CW,"779,275",W1KM
W1WEF,SO HP ALL,CW,"707,940",
AE1T,SO HP ALL,CW,"660,477",
N2ZA,SO HP ALL,PH,"608,798",
KV1J,SO HP ALL,PH,"559,500",
WX7T,SO HP ALL,CW,"498,200",K1RM
NB1N,SO HP ALL,PH,"476,766",
NN1SS,SO HP ALL,CW,"471,988",
